Name,Price ($),Cores,Score,Thread Mark,TDP,Socket,Power Efficiency (Score/W),Price Efficiency (Score/$),Average Efficiency,URL,Power Efficiency (FPS/W)
AMD Ryzen 5 PRO 4650GE,87.90,6,15554,2615,35,AM4,444.4,176.9511,310.6755,https://www.ebay.com/itm/AMD-Ryzen-5-Pro-4650GE-6-Cores-3-3GHz-AM4-R5-35W-Desktop-CPU-Processor-/126020051917,444.4000
Intel Core i3-14100F,"123,456.00",4,15378,3770,110,FCLGA1700,139.8,0.1246,69.9623,https://www.ebay.com/itm/Intel-Core-i3-14100F-processor-12-MB-Smart-Cache-CM8071505092207-/176364920870,139.8000
AMD Ryzen 7 PRO 2700,160.00,8,15280,2189,65,AM4,235.0769,95.5000,165.2885,https://www.ebay.com/itm/14-HP-ProBook-645-G4-Ryzen-7-Pro-2700U-16-GB-RAM-256GB-M-2-Laptop-NO-CADDY-/204834048662,235.0769
Intel Core i3-14100,203.99,4,15023,3727,60,FCLGA1700,250.3833,73.6458,162.0145,https://www.ebay.com/itm/Intel-Core-i3-14100-processor-12-MB-Smart-Cache-Box-BX8071514100-/186429506044,250.3833
AMD Ryzen 7 1700,42.99,8,14807,2000,65,AM4,227.8,344.4289,286.1145,https://www.ebay.com/itm/AMD-Ryzen-7-1700x-Desktop-CPU-Processor-4571-/204774557109,227.8000
AMD Ryzen 7 2700E,10000000,8,14657,2410,45,AM4,325.7111,0.0015,162.8563,,325.7111
AMD Ryzen 7 PRO 1700,149.00,8,14657,2028,65,AM4,225.4923,98.3691,161.9307,https://www.ebay.com/itm/MSI-B450-GAMING-PRO-CARBON-AC-Motherboard-AMD-RYZEN-7-1700-8-Core-3-0-GHz-CPU-/296498834464,225.4923
Intel Core i3-13100F,124.10,4,14621,3605,58,FCLGA1700,252.0862,117.8163,184.9512,https://www.ebay.com/itm/Intel-Core-i3-13100F-Desktop-Processor-4-cores-4-P-cores-0-E-cores-12MB-Cach-/315218852176,252.0862
Intel Core i7-9700K @ 3.60GHz,120.00,8,14464,2876,95,FCLGA1151-2,152.2526,120.5333,136.3929,https://www.ebay.com/itm/Intel-Core-i7-9700K-SRG15-3-60GHz-12MB-8-Core-CPU-Processor-intel-fan-included-/256568062788,152.2526
AMD Ryzen 5 PRO 4655GE,10000000,6,14436,2662,35,AM4,412.4571,0.0014,206.2293,,412.4571
AMD Ryzen 3 PRO 8300G,10000000,4,14351,3838,65,AM5,220.7846,0.0014,110.3930,,220.7846
Intel Core i7-8086K @ 4.00GHz,179.00,6,14290,2852,95,FCLGA1151-2,150.4211,79.8324,115.1268,https://www.ebay.com/itm/Intel-Core-i7-8086K-6-Cores-12-Threads-12MB-Socket-LGA1151-4-00GHz-CPU-Processor-/405045034810,150.4211
Intel Core i7-9700KF @ 3.60GHz,449.99,8,14269,2876,95,FCLGA1151-2,150.2,31.7096,90.9548,https://www.ebay.com/itm/Desktop-PC-I7-9700K-16GB-RAM-500GB-SSD-2TB-HDD-Wi-Fi-Windows-10-Pro-/235567296476,150.2000
AMD Ryzen 3 PRO 8300GE,10000000,4,14227,3772,35,AM5,406.4857,0.0014,203.2435,,406.4857
Intel Core i3-12100F,108.29,4,14131,3464,58,FCLGA1700,243.6379,130.4922,187.0650,https://www.ebay.com/itm/Intel-BX8071512100F-3-3-GHz-58-watts-12M-Core-I3-12100F-Desktop-Processor-/385651720386,243.6379
AMD Ryzen 5 2600X,35.00,6,13910,2384,95,AM4,146.4211,397.4286,271.9248,https://www.ebay.com/itm/AMD-Ryzen-5-2600-3-9-GHz-6-Core-YD2600BBM6IAF-Processor-/266920222170,146.4211
AMD Ryzen 3 PRO 5350G,199.99,4,13864,3101,65,AM4,213.2923,69.3235,141.3079,https://www.ebay.com/itm/Lenovo-Thinkcentre-M75S-G2-SFF-PC-AMD-Ryzen-3-PRO-5350G-8GB-RAM-128GB-SSD-W11P-/156264415009,213.2923
Intel Core i7-8700K @ 3.70GHz,94.50,6,13638,2729,95,FCLGA1151-2,143.5579,144.3175,143.9377,https://www.ebay.com/itm/Intel-Core-i7-8700K-SR3QR-3-70GHz-Hexa-Core-LGA-1151-CPU-Processor-/166868908919,143.5579
Intel Core i3-12100,65.00,4,13575,3435,60,FCLGA1700,226.25,208.8462,217.5481,https://www.ebay.com/itm/Intel-Core-i3-i3-12100-SRL62-Processor-CPU-Quad-Core-3-3-4-3GHz-LGA-1170-/176386965862,226.2500
AMD Ryzen 5 PRO 2600,400.00,6,13509,2275,65,AM4,207.8308,33.7725,120.8017,https://www.ebay.com/itm/Custom-Gaming-PC-AMD-Ryzen-5-2600-Gigabyte-AORUS-X570-Gigabyte-GTX1070-16GB-/335110622830,207.8308
Intel Core i3-12300T,259.99,4,13507,3420,35,FCLGA1700,385.9143,51.9520,218.9332,https://www.ebay.com/itm/Dell-Optiplex-5000-Micro-Intel-Core-i3-12300T-2-30GHz-8GB-RAM-256GB-SSD-/226141268808,385.9143
Intel Core i3-13100,74.99,4,13404,3372,60,FCLGA1700,223.4,178.7438,201.0719,https://www.ebay.com/itm/Intel-Core-i3-13100F-4-Core-Desktop-Processor-/305669401426,223.4000
Intel Core i9-9900T @ 2.10GHz,228.00,8,13312,2457,35,FCLGA1151-2,380.3429,58.3860,219.3645,https://www.ebay.com/itm/Intel-Core-i9-9900T-SRG1B-2-10GHz-8-Cores-16MB-35W-LGA-1151-CPU-Processor-/185216303174,380.3429
Intel Core i7-9700F @ 3.00GHz,270.00,8,13250,2754,65,FCLGA1151-2,203.8462,49.0741,126.4601,https://www.ebay.com/itm/computer-desktop-pc-gaming-/395496390056,203.8462
[5-Way CPU] AMD Ryzen 9 5950X,10000000,16,13220,2972,105,AM4,125.9048,0.0013,62.9530,,125.9048
AMD Ryzen 5 2600,32.99,6,13196,2245,65,AM4,203.0154,400.0000,301.5077,https://www.ebay.com/itm/AMD-Ryzen-5-2600-Processor-3-6-GHz-6-Cores-Socket-AM4-YD260XBCM6IAF-/135138848489,203.0154
Intel Core i7-9700 @ 3.00GHz,85.00,8,13183,2747,65,FCLGA1151-2,202.8154,155.0941,178.9547,https://www.ebay.com/itm/SRG13-Intel-Core-Processor-i7-9700-8-Core-3-00GHz-LGA-1151-65W-CPU-Grade-B-/285796408696,202.8154
AMD Ryzen 5 3500X,42.75,6,13177,2505,65,AM4,202.7231,308.2339,255.4785,https://www.ebay.com/itm/AMD-RYZEN-9-3900X-R7-3700X-3800X-R5-3600XT-3600-3500X-4500-R3-4100-Sockt-AM4-/176323493508?var=0,202.7231
Intel Core i3-13100T,419.00,4,13108,3405,35,FCLGA1700,374.5143,31.2840,202.8991,https://www.ebay.com/itm/Dell-OptiPlex-7010-Desktop-Intel-i3-13100T-8GB-RAM-256GB-SSD-Micro-PC-/256372424371,374.5143
AMD Ryzen 3 5300GE,118.00,4,13074,3098,35,AM4,373.5429,110.7966,242.1697,https://www.ebay.com/itm/AMD-Ryzen-3-5300GE-AM4-CPU-Processor-R3-5300GE-3-6-4-2GHz-Quad-Core-8Thr-35W-8MB-/175328207770,373.5429
AMD Ryzen 5 1600X,32.00,6,13062,2198,95,AM4,137.4947,408.1875,272.8411,https://www.ebay.com/itm/AMD-Ryzen-5-1600X-3-60-GHz-Hexa-Core-Processor-/126580020442,137.4947
Intel Core i3-14100T,689.99,4,12980,3534,69,FCLGA1700,188.1159,18.8119,103.4639,https://www.ebay.com/itm/Dell-OptiPlex-7000-7020-Desktop-Computer-Intel-Core-i3-14th-Gen-i3-14100T-8-/296407679613,188.1159
AMD Ryzen 3 5300G,149.99,4,12889,3035,65,AM4,198.2923,85.9324,142.1123,https://www.ebay.com/itm/AMD-RYZEN-3-5300G-QUAD-CORE-CPU-PROCESSOR-4-0GHZ-SOCKET-AM4-8MB-100-000000253-/186058366447,198.2923
Intel Core i7-8700 @ 3.20GHz,74.99,6,12852,2643,65,FCLGA1151-2,197.7231,171.3829,184.5530,https://www.ebay.com/itm/Intel-Core-i7-8700-SR3QS-3-20GHz-CPU-Processor-/176482967675,197.7231
AMD Ryzen 5 3500,42.75,6,12792,2501,65,AM4,196.8,299.2281,248.0140,https://www.ebay.com/itm/AMD-RYZEN-9-3900X-R7-3700X-3800X-R5-3600XT-3600-3500X-4500-R3-4100-Sockt-AM4-/176323493508?var=0,196.8000
Intel Core i3-12100T,304.99,4,12676,3283,35,FCLGA1700,362.1714,41.5620,201.8667,https://www.ebay.com/itm/Lenovo-Thinkcentre-M70Q-G3-Mini-Desktop-PC-i3-12100T-16GB-RAM-256GB-SSD-W11P-/156053526332,362.1714
AMD Ryzen 3 3300X,67.77,4,12650,2674,65,AM4,194.6154,186.6608,190.6381,https://www.ebay.com/itm/AMD-Ryzen-3-3300X-R3-3300X-3-8-4-3GH-4Core-8Thr-65W-Socket-AM4-CPU-Processor-/145839852425,194.6154
Intel Core i7-9700E @ 2.60GHz,399.00,8,12600,2559,65,FCLGA1151-2,193.8462,31.5789,112.7126,https://www.ebay.com/itm/Intel-Core-i7-9700E-FCLGA1151-2-60-GHz-8C-16T-12MB-8-GT-s-65-W-CPU-Processor-/135122065710,193.8462
AMD Ryzen 3 PRO 5350GE,249.99,4,12562,3087,35,AM4,358.9143,50.2500,204.5822,https://www.ebay.com/itm/Lenovo-Thinkcentre-M75Q-G2-Tiny-PC-AMD-Ryzen-3-PRO-5350GE-8GB-128GB-SSD-No-OS-/156254938467,358.9143
AMD Ryzen 5 1600,29.99,6,12283,2066,65,AM4,188.9692,409.5699,299.2695,https://www.ebay.com/itm/AMD-Ryzen-5-1600-32GHz-6-Core-AM4-Processor-YD1600BBM6IAE-/135134970121,188.9692
AMD Ryzen 3 3100,49.97,4,11608,2420,65,AM4,178.5846,232.2994,205.4420,https://www.ebay.com/itm/AMD-Ryzen-3-3100-3-6GHz-Quad-Core-100-100000284-Socket-AM4-/144934876992,178.5846
